#Dp;INSEE;Commune;Pfx;Habitants;Densité
01;01001;Abergement-Clémenciat ;l';579;36
01;01002;Abergement-de-Varey ;l';159;17
01;01004;Ambérieu-en-Bugey;;10455;425
01;01005;Ambérieux-en-Dombes;;1156;73
01;01006;Ambléon;;76;13
01;01007;Ambronay;;1996;59
01;01008;Ambutrix;;595;114
01;01009;Andert-et-Condon;;262;38
01;01010;Anglefort;;687;23
01;01011;Apremont;;341;23
01;01012;Aranc;;291;13
01;01013;Arandas;;128;9
01;01014;Arbent;;3369;143
01;01015;Arbignieu;;387;30
01;01016;Arbigny;;314;18
01;01017;Argis;;405;52
01;01019;Armix;;14;2
01;01021;Ars-sur-Formans;;851;155
01;01022;Artemare;;961;256
01;01023;Asnières-sur-Saône;;68;15
01;01024;Attignat;;1776;95
01;01025;Bâgé-la-Ville;;1959;49
01;01026;Bâgé-le-Châtel;;751;853
01;01027;Balan;;1668;92
01;01028;Baneins;;377;42
01;01029;Beaupont;;422;30
01;01030;Beauregard;;868;923
01;01031;Bellignat;;3233;413
01;01032;Béligneux;;2319;174
01;01033;Bellegarde-sur-Valserine;;11153;731
01;01034;Belley;;7807;348
01;01035;Belleydoux;;232;13
01;01036;Belmont-Luthézieu;;308;16
01;01037;Bénonces;;249;16
01;01038;Bény;;587;32
01;01039;Béon;;348;34
01;01040;Béréziat;;308;28
01;01041;Bettant;;703;209
01;01042;Bey;;195;70
01;01043;Beynost;;3141;295
01;01044;Billiat;;396;29
01;01045;Birieux;;125;8
01;01046;Biziat;;574;50
01;01047;Blyes;;535;57
01;01049;Boisse ;la;2419;257
01;01050;Boissey;;206;23
01;01051;Bolozon;;93;19
01;01052;Bouligneux;;274;11
01;01053;Bourg-en-Bresse;;40972;1717
01;01054;Bourg-St-Christophe;;716;80
01;01056;Boyeux-St-Jérôme;;241;14
01;01057;Boz;;352;48
01;01058;Brégnier-Cordon;;511;46
01;01059;Brénaz;;95;10
01;01060;Brénod;;385;16
01;01061;Brens;;638;92
01;01062;Bressolles;;480;62
01;01063;Brion;;587;131
01;01064;Briord;;618;50
01;01065;Buellas;;1162;114
01;01066;Burbanche ;la;60;6
01;01067;Ceignes;;160;16
01;01068;Cerdon;;672;55
01;01069;Certines;;916;58
01;01071;Cessy;;1763;276
01;01072;Ceyzériat;;2058;220
01;01073;Ceyzérieu;;766;39
01;01074;Chalamont;;1476;45
01;01075;Chaleins;;754;44
01;01076;Chaley;;107;23
01;01077;Challes;;193;25
01;01078;Challex;;967;112
01;01079;Champagne-en-Valromey;;667;37
01;01080;Champdor;;459;26
01;01081;Champfromier;;440;14
01;01082;Chanay;;410;23
01;01083;Chaneins;;478;38
01;01084;Chanoz-Châtenay;;476;35
01;01085;Chapelle-du-Châtelard ;la;247;18
01;01087;Charix;;261;14
01;01088;Charnoz-sur-Ain;;416;63
01;01089;Château-Gaillard;;1027;64
01;01090;Châtenay;;276;18
01;01091;Châtillon-en-Michaille;;2189;58
01;01092;Châtillon-la-Palud;;874;62
01;01093;Châtillon-sur-Chalaronne;;3786;211
01;01094;Chavannes-sur-Reyssouze;;565;34
01;01095;Chavannes-sur-Suran;;419;19
01;01096;Chaveyriat;;766;45
01;01097;Chavornay;;175;23
01;01098;Chazey-Bons;;684;65
01;01099;Chazey-sur-Ain;;895;41
01;01100;Cheignieu-la-Balme;;110;18
01;01101;Chevillard;;137;21
01;01102;Chevroux;;586;34
01;01103;Chevry;;733;126
01;01104;Chézery-Forens;;357;8
01;01105;Civrieux;;954;48
01;01106;Cize;;112;25
01;01107;Cleyzieu;;84;11
01;01108;Coligny;;1117;66
01;01109;Collonges;;1000;62
01;01110;Colomieu;;114;19
01;01111;Conand;;56;4
01;01112;Condamine;;248;53
01;01113;Condeissiat;;581;27
01;01114;Confort;;449;39
01;01115;Confrançon;;805;44
01;01116;Contrevoz;;416;29
01;01117;Conzieu;;79;11
01;01118;Corbonod;;841;27
01;01119;Corcelles;;207;15
01;01121;Corlier;;76;14
01;01122;Cormaranche-en-Bugey;;704;37
01;01123;Cormoranche-sur-Saône;;780;79
01;01124;Cormoz;;502;26
01;01125;Corveissiat;;437;19
01;01127;Courmangoux;;327;22
01;01128;Courtes;;194;21
01;01129;Crans;;209;16
01;01130;Cras-sur-Reyssouze;;846;61
01;01133;Cressin-Rochefort;;250;32
01;01134;Crottet;;1313;108
01;01135;Crozet;;1164;42
01;01136;Cruzilles-lès-Mépillat;;580;49
01;01138;Culoz;;2639;136
01;01139;Curciat-Dongalon;;449;19
01;01140;Curtafond;;422;34
01;01141;Cuzieu;;240;49
01;01142;Dagneux;;3317;499
01;01143;Divonne-les-Bains;;5580;165
01;01144;Dommartin;;537;31
01;01145;Dompierre-sur-Veyle;;828;28
01;01146;Dompierre-sur-Chalaronne;;268;56
01;01147;Domsure;;436;29
01;01148;Dortan;;2107;116
01;01149;Douvres;;606;115
01;01150;Drom;;146;19
01;01151;Druillat;;823;40
01;01152;Echallon;;550;20
01;01153;Echenevex;;997;61
01;01154;Etrez;;510;42
01;01155;Evosges;;101;8
01;01156;Faramans;;482;43
01;01157;Fareins;;1545;188
01;01158;Farges;;559;39
01;01159;Feillens;;2624;176
01;01160;Ferney-Voltaire;;6408;1341
01;01162;Flaxieu;;53;19
01;01163;Foissiat;;1481;37
01;01165;Amareins-Francheleins-Cesseins;;826;61
01;01166;Frans;;1549;194
01;01167;Garnerans;;484;56
01;01169;Genouilleux;;320;78
01;01170;Géovreissiat;;455;97
01;01171;Géovreisset;;450;129
01;01172;Germagnat;;86;9
01;01173;Gex;;6615;207
01;01174;Giron;;88;9
01;01175;Gorrevod;;512;74
01;01176;Grand-Abergement ;le;96;3
01;01177;Grand-Corent;;104;15
01;01179;Grièges;;1606;108
01;01180;Grilly;;634;85
01;01181;Groissiat;;611;97
01;01182;Groslée;;286;39
01;01183;Guéreins;;995;221
01;01184;Hautecourt-Romanèche;;588;27
01;01185;Hauteville-Lompnes;;3895;77
01;01186;Hostias;;56;5
01;01187;Hotonnes;;268;9
01;01188;Illiat;;396;19
01;01189;Injoux-Génissiat;;940;32
01;01190;Innimond;;81;6
01;01191;Izenave;;130;10
01;01192;Izernore;;1170;56
01;01193;Izieu;;161;21
01;01194;Jassans-Riottier;;4609;958
01;01195;Jasseron;;1079;57
01;01196;Jayat;;650;40
01;01197;Journans;;286;118
01;01198;Joyeux;;171;10
01;01199;Jujurieux;;1602;104
01;01200;Labalme;;120;14
01;01202;Lagnieu;;5686;209
01;01203;Laiz;;806;78
01;01204;Lalleyriat;;191;13
01;01205;Lancrans;;815;84
01;01206;Lantenay;;235;36
01;01207;Lapeyrouse;;207;10
01;01208;Lavours;;108;17
01;01209;Léaz;;461;40
01;01210;Lélex;;232;13
01;01211;Lent;;1043;33
01;01212;Lescheroux;;527;26
01;01213;Leyment;;822;58
01;01214;Leyssard;;113;12
01;01215;Lhôpital;;53;14
01;01216;Lhuis;;587;24
01;01218;Lochieu;;69;10
01;01219;Lompnas;;137;11
01;01221;Lompnieu;;97;9
01;01224;Loyettes;;2256;106
01;01225;Lurcy;;199;41
01;01227;Magnieu;;290;47
01;01228;Maillat;;623;55
01;01229;Malafretaz;;624;68
